"filename","listnumber","assignmentid","hitid","workerid","origin","timestamp","partid","answer","clipid","questiontype","questionid","questiontext","answer1","answer2","answer3","answer4","correctanswer","img","id"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","1","PROLIFIC","09-Jul-2026 09:05:51","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":1407,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2242460"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","1234","PROLIFIC","09-Jul-2026 09:00:28","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":1052,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2242365"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","62c5f85ccf34c8d9c0650f6e","PROLIFIC","09-Jul-2026 21:36:45","14721","""{\""answer\"":\""Bars\"",\""RT\"":7000,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2246579"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","65465c5bc5a014ec683d55cf","PROLIFIC","22-Jul-2026 22:35:58","14721","""{\""answer\"":\""Bars\"",\""RT\"":7196,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""This was certainly entertaining\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2253361"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","661c09a749790db73f8faba5","PROLIFIC","09-Jul-2026 20:39:11","14721","""{\""answer\"":\""Bars\"",\""RT\"":4461,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""The experiment was enjoyable and very engaging. I did not experience any issues while performing the experiment.\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2245470"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","66315563a848526fcfa7555b","PROLIFIC","09-Jul-2026 20:13:16","14721","""{\""answer\"":\""International restaurants\"",\""RT\"":10981,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""Yes\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2244836"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","665795d82a087799023aaf0e","PROLIFIC","22-Jul-2026 21:42:45","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":6878,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""None. Thank you.\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2253013"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","66da162f5538535e93490441","PROLIFIC","08-Jul-2026 22:39:46","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":3520,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""It was an interesting experiment for sure\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2241922"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","676956116c1a3416bf7b2afe","PROLIFIC","09-Jul-2026 21:10:09","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":4008,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2246071"
"nathan4-rand-imgs-noheaders.csv","","NOT AVAILABLE","NOT AVAILABLE","695ea002344d7ca1605c747a","PROLIFIC","09-Jul-2026 21:44:56","14721","""{\""answer\"":\""Antique shops\"",\""RT\"":4838,\""timeout\"":0,\""feedback\"":{\""seenBefore\"":\""No\"",\""anyProblems\"":\""No\"",\""problemDescription\"":\""\"",\""comments\"":\""\""}}""","1","control","1","What type of businesses are around the antique shop?","Antique shops","International restaurants","Bars","Grocery stores","Bars","none.png","2246926"
